2018-05-19 18:25:57,960 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:25:57,964 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-19 18:29:18,203 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:29:18,218 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-19 18:29:18,225 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:29:18,228 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-19 18:31:01,487 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:31:01,491 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-19 18:31:01,491 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:31:01,495 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-19 18:46:39,770 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:46:39,775 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-19 18:46:39,780 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-19 18:46:39,784 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 15:26:53,708 [Worker-175] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 15:26:53,715 [Worker-175] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 15:26:53,717 [Worker-175] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 15:26:53,722 [Worker-175] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 15:35:24,227 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 15:35:24,250 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 15:35:24,260 [Worker-178] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 15:35:24,266 [Worker-178] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 16:35:13,250 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 16:35:13,255 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 16:35:13,260 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 16:35:13,264 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 16:37:32,019 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 16:37:32,026 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 16:37:32,032 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 16:37:32,035 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 17:29:16,931 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:29:16,935 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 17:29:16,935 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:29:16,940 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 17:55:02,209 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:55:02,213 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 17:55:02,217 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:55:02,222 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 17:57:56,044 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:57:56,049 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 17:57:56,050 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 17:57:56,054 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 20:31:04,942 [Worker-215] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:31:04,947 [Worker-215] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 20:31:04,951 [Worker-215] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:31:04,955 [Worker-215] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 20:35:25,947 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:35:25,951 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 20:35:25,952 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:35:25,956 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 20:35:57,127 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:35:57,134 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 20:35:57,138 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:35:57,142 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-20 20:39:21,684 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-20 20:39:21,687 [Worker-216] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-20 20:39:21,688 [Worker-216] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
